Paper ID,Conference ID,Rationale
P001.pdf,CVPR,This matches with the CVPR conference
P003.pdf,EMNLP,This matches with the EMNLP conference
P004.pdf,TMLR,This matches with the TMLR conference
P005.pdf,CVPR,This matches with the CVPR conference
P007.pdf,EMNLP,This matches with the EMNLP conference
P008.pdf,EMNLP,This matches with the EMNLP conference
P009.pdf,TMLR,This matches with the TMLR conference
P010.pdf,KDD,This matches with the KDD conference
P011.pdf,KDD,This matches with the KDD conference
P012.pdf,TMLR,This matches with the TMLR conference
P013.pdf,EMNLP,This matches with the EMNLP conference
P014.pdf,CVPR,This matches with the CVPR conference
P015.pdf,CVPR,This matches with the CVPR conference
P016.pdf,EMNLP,This matches with the EMNLP conference
P017.pdf,KDD,This matches with the KDD conference
P018.pdf,TMLR,This matches with the TMLR conference
P019.pdf,KDD,This matches with the KDD conference
P020.pdf,NeuraIPS,This matches with the NeuraIPS conference
P021.pdf,TMLR,This matches with the TMLR conference
P023.pdf,CVPR,This matches with the CVPR conference
P024.pdf,NeuraIPS,This matches with the NeuraIPS conference
P025.pdf,CVPR,This matches with the CVPR conference
P027.pdf,EMNLP,This matches with the EMNLP conference
P028.pdf,EMNLP,This matches with the EMNLP conference
P029.pdf,CVPR,This matches with the CVPR conference
P030.pdf,CVPR,This matches with the CVPR conference
P031.pdf,EMNLP,This matches with the EMNLP conference
P033.pdf,EMNLP,This matches with the EMNLP conference
P034.pdf,CVPR,This matches with the CVPR conference
P035.pdf,NeuraIPS,This matches with the NeuraIPS conference
P037.pdf,EMNLP,This matches with the EMNLP conference
P040.pdf,TMLR,This matches with the TMLR conference
P042.pdf,CVPR,This matches with the CVPR conference
P044.pdf,CVPR,This matches with the CVPR conference
P045.pdf,TMLR,This matches with the TMLR conference
P046.pdf,NeuraIPS,This matches with the NeuraIPS conference
P049.pdf,TMLR,This matches with the TMLR conference
P050.pdf,EMNLP,This matches with the EMNLP conference
P051.pdf,EMNLP,This matches with the EMNLP conference
P052.pdf,NeuraIPS,This matches with the NeuraIPS conference
P054.pdf,CVPR,This matches with the CVPR conference
P055.pdf,EMNLP,This matches with the EMNLP conference
P057.pdf,TMLR,This matches with the TMLR conference
P058.pdf,EMNLP,This matches with the EMNLP conference
P059.pdf,KDD,This matches with the KDD conference
P060.pdf,CVPR,This matches with the CVPR conference
P061.pdf,TMLR,This matches with the TMLR conference
P062.pdf,CVPR,This matches with the CVPR conference
P063.pdf,TMLR,This matches with the TMLR conference
P064.pdf,CVPR,This matches with the CVPR conference
P065.pdf,CVPR,This matches with the CVPR conference
P066.pdf,EMNLP,This matches with the EMNLP conference
P067.pdf,EMNLP,This matches with the EMNLP conference
P068.pdf,CVPR,This matches with the CVPR conference
P069.pdf,EMNLP,This matches with the EMNLP conference
P070.pdf,EMNLP,This matches with the EMNLP conference
P071.pdf,EMNLP,This matches with the EMNLP conference
P072.pdf,NeuraIPS,This matches with the NeuraIPS conference
P074.pdf,CVPR,This matches with the CVPR conference
P075.pdf,CVPR,This matches with the CVPR conference
P077.pdf,EMNLP,This matches with the EMNLP conference
P079.pdf,TMLR,This matches with the TMLR conference
P080.pdf,EMNLP,This matches with the EMNLP conference
P082.pdf,TMLR,This matches with the TMLR conference
P083.pdf,EMNLP,This matches with the EMNLP conference
P084.pdf,TMLR,This matches with the TMLR conference
P085.pdf,NeuraIPS,This matches with the NeuraIPS conference
P087.pdf,CVPR,This matches with the CVPR conference
P088.pdf,NeuraIPS,This matches with the NeuraIPS conference
P089.pdf,TMLR,This matches with the TMLR conference
P090.pdf,TMLR,This matches with the TMLR conference
P091.pdf,EMNLP,This matches with the EMNLP conference
P092.pdf,CVPR,This matches with the CVPR conference
P093.pdf,CVPR,This matches with the CVPR conference
P095.pdf,TMLR,This matches with the TMLR conference
P099.pdf,EMNLP,This matches with the EMNLP conference
P101.pdf,NeuraIPS,This matches with the NeuraIPS conference
P102.pdf,CVPR,This matches with the CVPR conference
P103.pdf,EMNLP,This matches with the EMNLP conference
P104.pdf,EMNLP,This matches with the EMNLP conference
P106.pdf,EMNLP,This matches with the EMNLP conference
P107.pdf,TMLR,This matches with the TMLR conference
P108.pdf,EMNLP,This matches with the EMNLP conference
P109.pdf,EMNLP,This matches with the EMNLP conference
P110.pdf,EMNLP,This matches with the EMNLP conference
P111.pdf,TMLR,This matches with the TMLR conference
P112.pdf,NeuraIPS,This matches with the NeuraIPS conference
P113.pdf,TMLR,This matches with the TMLR conference
P115.pdf,EMNLP,This matches with the EMNLP conference
P116.pdf,NeuraIPS,This matches with the NeuraIPS conference
P117.pdf,EMNLP,This matches with the EMNLP conference
P118.pdf,EMNLP,This matches with the EMNLP conference
P120.pdf,EMNLP,This matches with the EMNLP conference
P121.pdf,TMLR,This matches with the TMLR conference
P122.pdf,CVPR,This matches with the CVPR conference
P123.pdf,EMNLP,This matches with the EMNLP conference
P124.pdf,EMNLP,This matches with the EMNLP conference
P125.pdf,EMNLP,This matches with the EMNLP conference
P126.pdf,NeuraIPS,This matches with the NeuraIPS conference
P127.pdf,NeuraIPS,This matches with the NeuraIPS conference
P128.pdf,EMNLP,This matches with the EMNLP conference
P130.pdf,EMNLP,This matches with the EMNLP conference
P131.pdf,CVPR,This matches with the CVPR conference
P132.pdf,CVPR,This matches with the CVPR conference
P133.pdf,EMNLP,This matches with the EMNLP conference
P135.pdf,TMLR,This matches with the TMLR conference
